"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
28,550;0,35;-0,84;1,30
28,600;0,31;-0,76;1,90
28,650;0,27;-0,65;2,48
28,700;0,25;-0,51;2,86
28,750;0,22;-0,35;3,07
28,800;0,21;-0,20;3,23
28,850;0,20;-0,04;3,38
28,900;0,21;0,14;3,40
28,950;0,22;0,31;3,23
29,000;0,24;0,47;2,94
29,050;0,26;0,61;2,55
29,100;0,30;0,73;2,05
29,150;0,34;0,82;1,49
29,200;0,38;0,87;0,93
29,250;0,43;0,91;0,37
29,300;0,47;0,91;-0,23
29,350;0,52;0,89;-0,85
29,400;0,56;0,83;-1,43
29,450;0,60;0,74;-1,93
29,500;0,64;0,63;-2,34
29,550;0,67;0,50;-2,66
29,600;0,69;0,36;-2,90
29,650;0,70;0,21;-3,05
29,700;0,71;0,05;-3,11
29,750;0,71;-0,10;-3,09
29,800;0,70;-0,26;-3,00
29,850;0,68;-0,41;-2,83
29,900;0,66;-0,54;-2,57
29,950;0,63;-0,67;-2,22
30,000;0,59;-0,77;-1,79
30,050;0,55;-0,85;-1,26
30,100;0,51;-0,90;-0,65
30,150;0,46;-0,91;-0,02
30,200;0,41;-0,90;0,55
30,250;0,37;-0,85;1,06
30,300;0,33;-0,79;1,61
30,350;0,29;-0,70;2,20
30,400;0,26;-0,57;2,75
30,450;0,23;-0,42;3,08
30,500;0,22;-0,25;3,22
30,550;0,21;-0,09;3,27
30,600;0,21;0,07;3,28
30,650;0,21;0,24;3,23
30,700;0,23;0,40;3,07
30,750;0,25;0,55;2,77
30,800;0,29;0,68;2,31
30,850;0,32;0,79;1,72
30,900;0,37;0,85;1,13
30,950;0,41;0,90;0,56
31,000;0,46;0,91;-0,01
31,050;0,50;0,90;-0,62
31,100;0,55;0,85;-1,21
31,150;0,59;0,77;-1,74
31,200;0,62;0,67;-2,18
31,250;0,66;0,55;-2,53
31,300;0,68;0,42;-2,80
31,350;0,70;0,27;-2,98
31,400;0,71;0,12;-3,08
31,450;0,71;-0,04;-3,09
31,500;0,70;-0,20;-3,03
31,550;0,69;-0,35;-2,89
31,600;0,67;-0,49;-2,67
31,650;0,64;-0,62;-2,36
31,700;0,61;-0,73;-1,95
31,750;0,57;-0,81;-1,44
31,800;0,52;-0,88;-0,85
31,850;0,48;-0,90;-0,25
31,900;0,43;-0,90;0,27
31,950;0,39;-0,87;0,77
32,000;0,34;-0,82;1,35
32,050;0,31;-0,74;2,00
32,100;0,27;-0,62;2,58
32,150;0,24;-0,47;2,94
32,200;0,22;-0,32;3,14
32,250;0,21;-0,16;3,26
32,300;0,21;0,01;3,30
32,350;0,21;0,18;3,27
32,400;0,22;0,34;3,17
32,450;0,24;0,50;2,94
32,500;0,27;0,64;2,50
32,550;0,31;0,75;1,89
32,600;0,35;0,83;1,29
32,650;0,39;0,88;0,75
32,700;0,44;0,90;0,22
32,750;0,48;0,90;-0,38
32,800;0,53;0,87;-0,98
32,850;0,57;0,80;-1,53
32,900;0,61;0,71;-2,01
32,950;0,64;0,60;-2,40
33,000;0,67;0,47;-2,70
33,050;0,69;0,32;-2,91
33,100;0,70;0,17;-3,04
33,150;0,71;0,02;-3,08
33,200;0,71;-0,14;-3,05
33,250;0,69;-0,29;-2,94
33,300;0,68;-0,43;-2,74
33,350;0,65;-0,57;-2,46
33,400;0,62;-0,68;-2,10
33,450;0,58;-0,78;-1,66
33,500;0,54;-0,85;-1,12
33,550;0,50;-0,90;-0,51
33,600;0,45;-0,90;0,12
33,650;0,40;-0,88;0,69
33,700;0,36;-0,83;1,21
33,750;0,32;-0,76;1,73
33,800;0,28;-0,66;2,26
33,850;0,25;-0,53;2,73
33,900;0,23;-0,38;3,07
33,950;0,21;-0,22;3,29
34,000;0,21;-0,05;3,34
34,050;0,21;0,12;3,26
34,100;0,22;0,28;3,13
34,150;0,24;0,43;2,95
34,200;0,26;0,58;2,65
34,250;0,30;0,71;2,14
34,300;0,34;0,80;1,54
34,350;0,38;0,85;0,97
34,400;0,42;0,89;0,44
34,450;0,47;0,90;-0,13
34,500;0,51;0,88;-0,75
34,550;0,56;0,83;-1,33
34,600;0,60;0,74;-1,83
34,650;0,63;0,64;-2,25
34,700;0,66;0,52;-2,58
34,750;0,68;0,38;-2,83
34,800;0,70;0,23;-2,98
34,850;0,71;0,08;-3,06
34,900;0,71;-0,08;-3,06
34,950;0,70;-0,23;-2,98
35,000;0,68;-0,38;-2,82
35,050;0,66;-0,52;-2,57
35,100;0,63;-0,64;-2,24
35,150;0,60;-0,74;-1,82
35,200;0,56;-0,82;-1,31
35,250;0,51;-0,88;-0,72
35,300;0,47;-0,90;-0,11
35,350;0,42;-0,89;0,45
35,400;0,38;-0,85;0,95
35,450;0,34;-0,79;1,49
35,500;0,30;-0,71;2,08
35,550;0,26;-0,58;2,63
35,600;0,24;-0,44;3,01
35,650;0,22;-0,27;3,22
35,700;0,21;-0,11;3,29
35,750;0,21;0,06;3,25
35,800;0,22;0,22;3,17
35,850;0,23;0,37;3,03
35,900;0,25;0,53;2,73
35,950;0,29;0,66;2,26
36,000;0,32;0,75;1,73
36,050;0,36;0,83;1,21
36,100;0,40;0,88;0,69
36,150;0,45;0,90;0,10
36,200;0,50;0,89;-0,53
36,250;0,54;0,84;-1,12
36,300;0,58;0,77;-1,65
36,350;0,62;0,68;-2,09
36,400;0,65;0,56;-2,45
36,450;0,67;0,43;-2,73
36,500;0,69;0,29;-2,92
36,550;0,70;0,13;-3,03
36,600;0,71;-0,02;-3,06
36,650;0,70;-0,17;-3,01
36,700;0,69;-0,32;-2,87
36,750;0,67;-0,46;-2,66
36,800;0,64;-0,59;-2,36
36,850;0,61;-0,70;-1,98
36,900;0,57;-0,79;-1,51
36,950;0,53;-0,86;-0,95
37,000;0,48;-0,89;-0,34
37,050;0,44;-0,89;0,24
37,100;0,39;-0,86;0,77
